round,random,epsilon_first,cmab,cmab_trust,cmab_trust_pgrd,truthride
1,0.4077,0.4077,0.093,0.093,0.1102,0.1102
2,0.4766,0.4766,0.3009,0.3009,0.298,0.298
3,0.525,0.525,0.4047,0.4047,0.5468,0.5468
4,0.5343,0.5343,0.4556,0.4556,0.6075,0.6075
5,0.5425,0.5425,0.5182,0.5182,0.6288,0.6288
6,0.5524,0.5524,0.553,0.553,0.6474,0.6581
7,0.5541,0.5541,0.5688,0.5688,0.6579,0.6677
8,0.5485,0.5485,0.5585,0.5591,0.6555,0.6695
9,0.5484,0.5484,0.557,0.5569,0.642,0.6549
10,0.5536,0.5536,0.5799,0.5797,0.6602,0.673
11,0.5601,0.5601,0.5969,0.5973,0.6661,0.6829
12,0.5632,0.5632,0.6069,0.6064,0.6773,0.6925
13,0.5614,0.5614,0.6097,0.6086,0.6841,0.6986
14,0.5664,0.5664,0.6177,0.623,0.6917,0.7055
15,0.5624,0.5624,0.6202,0.6317,0.6986,0.7106
16,0.5611,0.5611,0.6186,0.6336,0.7015,0.7113
17,0.5654,0.5654,0.6181,0.6392,0.7022,0.7142
18,0.5717,0.5717,0.6189,0.6428,0.7036,0.7164
19,0.566,0.566,0.6161,0.6421,0.7051,0.7189
20,0.5607,0.5607,0.6124,0.645,0.7054,0.7202
21,0.5607,0.5607,0.6142,0.6497,0.7017,0.715
22,0.5599,0.5599,0.6141,0.6537,0.7049,0.7187
23,0.5568,0.5568,0.6154,0.6559,0.7022,0.7168
24,0.5576,0.5576,0.618,0.6604,0.6994,0.7168
25,0.5564,0.5564,0.6177,0.6642,0.7004,0.7182
26,0.5574,0.5574,0.6199,0.6671,0.7021,0.7209
27,0.5565,0.5565,0.6224,0.6728,0.7013,0.7239
28,0.5546,0.5546,0.6227,0.6764,0.6988,0.7252
29,0.5552,0.5552,0.6225,0.6803,0.7011,0.7276
30,0.5559,0.5559,0.6206,0.6814,0.6983,0.7249
31,0.5559,0.5559,0.6186,0.683,0.7015,0.7282
32,0.5582,0.5582,0.6201,0.6875,0.7048,0.732
33,0.559,0.559,0.6255,0.6923,0.71,0.7368
34,0.5597,0.5597,0.6263,0.6961,0.7148,0.7406
35,0.5586,0.5586,0.6231,0.6982,0.7162,0.7408
36,0.5618,0.5618,0.6223,0.6978,0.7175,0.7437
