round,random,cmab,cmab_trust,truthride
1,0.3718,0.3448,0.3448,0.314
2,0.3009,0.3384,0.3384,0.2425
3,0.2727,0.3055,0.3055,0.2294
4,0.2461,0.2391,0.2391,0.1655
5,0.2073,0.2457,0.2457,0.1222
6,0.1911,0.2735,0.2648,0.1348
7,0.2448,0.2864,0.2777,0.2178
8,0.239,0.2845,0.2758,0.1902
9,0.2239,0.2943,0.281,0.2053
10,0.2343,0.2464,0.2336,0.2191
11,0.255,0.1668,0.1994,0.1695
12,0.2124,0.1311,0.1273,0.1127
13,0.2555,0.1272,0.099,0.1455
14,0.2664,0.1429,0.1206,0.109
15,0.2668,0.1759,0.1194,0.102
16,0.2269,0.2393,0.1185,0.1391
17,0.2645,0.2511,0.1786,0.1162
18,0.2364,0.2802,0.2267,0.1126
19,0.2296,0.2652,0.2238,0.1707
20,0.2355,0.2706,0.2154,0.1563
21,0.237,0.2046,0.1744,0.1128
22,0.2287,0.1708,0.1225,0.1162
23,0.24,0.1705,0.0841,0.0978
24,0.2369,0.199,0.0907,0.0427
25,0.2368,0.1947,0.1069,0.0482
26,0.2405,0.1981,0.1088,0.0525
27,0.2311,0.2056,0.1062,0.0491
28,0.2227,0.1679,0.1068,0.0923
29,0.197,0.1386,0.0623,0.0915
30,0.1866,0.1156,0.0738,0.0915
31,0.2176,0.112,0.0829,0.0899
32,0.2249,0.1005,0.0818,0.0876
33,0.2202,0.1252,0.0799,0.0305
34,0.2158,0.0944,0.1002,0.0271
35,0.2331,0.1286,0.1123,0.024
36,0.2022,0.1249,0.1003,0.0281
37,0.2205,0.12,0.1009,0.0261
38,0.2353,0.1345,0.1134,0.0329
39,0.2351,0.2015,0.0964,0.0341
40,0.2082,0.1837,0.0545,0.0371
41,0.233,0.2255,0.0602,0.0347
42,0.1629,0.2561,0.0613,0.0414
43,0.1455,0.2689,0.0403,0.0371
44,0.2052,0.2623,0.0652,0.045
45,0.2157,0.2683,0.0718,0.0431
46,0.2244,0.2367,0.1097,0.042
47,0.2543,0.2463,0.1328,0.0371
48,0.2549,0.248,0.1589,0.0348
49,0.2181,0.2345,0.1264,0.0292
50,0.1914,0.2304,0.123,0.0322
51,0.1268,0.271,0.0839,0.0327
52,0.1227,0.2857,0.054,0.0329
53,0.153,0.245,0.0322,0.0336
54,0.1294,0.2478,0.0332,0.0359
55,0.162,0.2153,0.035,0.0362
56,0.1748,0.1709,0.0345,0.0357
57,0.1992,0.1536,0.0687,0.0402
58,0.1902,0.1853,0.0708,0.0422
59,0.2521,0.2085,0.1144,0.0388
60,0.2418,0.2218,0.1331,0.0376
61,0.2926,0.273,0.1733,0.04
62,0.2779,0.2696,0.1405,0.0362
63,0.2704,0.2598,0.1385,0.0333
64,0.2486,0.2381,0.0983,0.0342
65,0.2461,0.2444,0.0969,0.0353
66,0.2264,0.2341,0.0587,0.0305
67,0.2554,0.2354,0.067,0.0306
68,0.2444,0.2417,0.0635,0.0322
69,0.2667,0.2347,0.0926,0.0338
70,0.2939,0.2857,0.1333,0.0346
71,0.2652,0.3017,0.1967,0.0384
72,0.2522,0.3071,0.2374,0.0387
73,0.2715,0.2978,0.2747,0.0402
74,0.2383,0.3244,0.3104,0.0349
75,0.2061,0.2656,0.2781,0.0347
76,0.2465,0.2177,0.2231,0.0349
77,0.2433,0.2432,0.1807,0.032
78,0.2377,0.2567,0.1478,0.0301
79,0.2655,0.2159,0.128,0.0331
80,0.2519,0.2544,0.1029,0.0337
81,0.2245,0.3069,0.0931,0.03
82,0.2413,0.282,0.0904,0.0312
83,0.2535,0.2702,0.0901,0.0344
84,0.2316,0.3023,0.0417,0.0342
85,0.2847,0.2769,0.0437,0.0313
86,0.3021,0.2181,0.0434,0.0331
87,0.2918,0.1963,0.0508,0.0327
88,0.2849,0.1995,0.0531,0.0323
89,0.2635,0.1835,0.0557,0.0343
90,0.2631,0.2031,0.0623,0.0379
91,0.2819,0.2227,0.0633,0.04
92,0.2756,0.2304,0.0571,0.0434
93,0.2558,0.2183,0.062,0.0447
94,0.2799,0.2344,0.0608,0.047
95,0.2585,0.2251,0.0512,0.0429
96,0.2256,0.2109,0.053,0.0467
97,0.1988,0.1854,0.0579,0.0446
98,0.1723,0.1714,0.0529,0.0421
99,0.1827,0.1153,0.0586,0.0414
100,0.1771,0.1243,0.0568,0.0452
101,0.1957,0.1628,0.0543,0.0401
102,0.2246,0.166,0.0456,0.0386
103,0.2506,0.1624,0.0431,0.0418
104,0.2522,0.1828,0.0365,0.037
105,0.2349,0.1564,0.0376,0.0385
106,0.1881,0.1191,0.0433,0.0408
107,0.1782,0.124,0.0442,0.0411
108,0.1949,0.1195,0.0443,0.0372
109,0.17,0.146,0.0445,0.0403
110,0.2079,0.1837,0.0457,0.039
111,0.2798,0.2583,0.0713,0.0713
112,0.2444,0.288,0.0662,0.074
113,0.2606,0.3015,0.0678,0.0739
114,0.2784,0.3151,0.065,0.0754
115,0.2583,0.2967,0.0632,0.0751
116,0.2027,0.2764,0.0361,0.0418
